,0
0,Alabama
1,Alaska
2,Arkansas
3,California
4,Delaware
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maine
15,Maryland
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Missouri
21,Nebraska
22,Nevada
23,New Hampshire
24,New York
25,North Carolina
26,Ohio
27,Oklahoma
28,Oregon
29,Pennsylvania
30,Rhode Island
31,South Carolina
32,South Dakota
33,Tennessee
34,Utah
35,Vermont
36,Virginia
37,Washington
38,West Virginia
39,Wisconsin
40,Wyoming
